GEOID,County,Hogan,Cox,pct_chg
24001,Allegany,19224,13833,-28.043071161048687
24003,Anne Arundel,157202,73775,-53.069935497003854
24510,Baltimore City,58360,11387,-80.48834818368745
24005,Baltimore County,198122,80759,-59.23774240114676
24009,Calvert,29610,18447,-37.700101317122595
24011,Caroline,9489,6727,-29.107387501317316
24013,Carroll,62445,38969,-37.59468332132276
24015,Cecil,27063,18159,-32.90100875734397
24017,Charles,31756,15096,-52.46252676659529
24019,Dorchester,9205,6169,-32.98207495926127
24021,Frederick,72560,44307,-38.93743109151047
24023,Garrett,9472,8195,-13.481841216216218
24025,Harford,85259,51930,-39.091474213865986
24027,Howard,80574,33110,-58.90733983667188
24029,Kent,6370,3718,-41.63265306122449
24031,Montgomery,180018,58701,-67.39159417391593
24033,Prince George's,89925,17937,-80.0533778148457
24035,Queen Anne's,19503,12840,-34.163974773111825
24037,Saint Mary's,30703,20670,-32.6775885092662
24039,Somerset,5203,3974,-23.620987891601
24041,Talbot,14081,7497,-46.75804275264541
24043,Washington,38765,27571,-28.87656391074423
24045,Wicomico,22659,14612,-35.513482501434304
24047,Worcester,18076,13433,-25.68599247621155
