id,title,description,term,department,instructors,seats
LING889,Directed Research,,202112,Linguistics,,0
LING200,Introductory Linguistics,"Credit only granted for: HESP120 or LING200.
Additional information: Does not count toward the Linguistics major and does not fulfill prerequisite requirements for all upper-level courses.",202112,Linguistics,Michelle Morrison,20
LING689,Independent Study,,202112,Linguistics,,0
LING499,Directed Studies in Linguistics,,202112,Linguistics,,0
LING899,Doctoral Dissertation Research,,202112,Linguistics,,0
LING698,Directed Study,,202112,Linguistics,,0
LING898,Pre-Candidacy Research,,202112,Linguistics,,0
LING896,Research Paper in Minor Area,Prerequisite: LING888.,202112,Linguistics,,0
LING798,Research Papers in Linguistics,,202112,Linguistics,,0
LING799,Master's Thesis Research,,202112,Linguistics,,0
AMST101,Introduction American Studies,"Credit only granted for: AMST101 or AMST201.
Formerly: AMST201.",202112,American Studies,Timothy Kumfer; Jacqueline Partida,30
AMST203,Popular Culture in America,"An introduction to American popular culture, its historical development, and its role as a reflection of and influence on our culture and society.",202112,American Studies,Brienne Adams; Shoji Sanders; Mark Lockwood,45
AMST799,Master's Thesis Research,,202112,American Studies,Instructor: TBA,5
AMST698,Directed Readings in American Studies,,202112,American Studies,Mary Sies,1
ENCE799,Master's Thesis Research,,202112,"Engineering, Civil",Qingbin Cui; Ahmet Aydilek; Allison Reilly; Peter Chang; Bilal Ayyub; Allen Davis; Gang-Len Chang; Ali Haghani,34
ENCE899,Doctoral Dissertation Research,,202112,"Engineering, Civil",Peter Chang; Yunfeng Zhang; Gregory Baecher; Steven Gabriel; Gang-Len Chang; Ali Haghani; Lei Zhang,29
ENCE689,Seminar,,202112,"Engineering, Civil",Peter Chang; Gang-Len Chang,6
EDCP788,Advanced Practicum,,202112,Education Counseling and Personnel Services,Candace Moore,1
EDCP789,Advanced Topics in Counseling and Personnel Services,,202112,Education Counseling and Personnel Services,,0
EDCP665,Family and Social Support Systems,Recommended: EDCP610.,202112,Education Counseling and Personnel Services,Ileana Gonzalez,20
