"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2791324,"December 31, 2023",Texas,"Fort Worth","1200 block of Long Ave",0,1,0,0,0,N/A
2791320,"December 31, 2023",Texas,Dallas,"400 block of Delaware Ave",0,1,0,0,0,N/A
2792171,"December 31, 2023",Ohio,Cincinnati,"7800 block of Dawn Rd",1,0,0,0,1,N/A
2792162,"December 31, 2023",Tennessee,Nashville,"Ed Temple Blvd",0,1,0,0,0,N/A
2790672,"December 31, 2023","District of Columbia",Washington,"300 block of 37th St SE",0,2,0,0,0,N/A
2791304,"December 31, 2023",Ohio,Columbus,"1000 block of Alum Creek Dr",0,1,0,0,0,N/A
2792333,"December 31, 2023","New Hampshire",Manchester,"274 Amherst St",1,0,0,0,1,N/A
2793054,"December 31, 2023",Indiana,Fredericksburg,"6000 block of W Mt Carmel Rd",1,0,0,0,0,N/A
2791298,"December 31, 2023",Ohio,Cleveland,"4100 block of E 141st St",0,1,0,0,0,N/A
2790802,"December 31, 2023","New Mexico",Albuquerque,"6600 block of Moore Dr SW",1,0,0,0,1,N/A
2791361,"December 31, 2023",Oregon,Portland,"1100 block of NE Faloma Rd",1,1,0,0,1,N/A
2793019,"December 31, 2023",Pennsylvania,Philadelphia,"800 block of E Madison St",1,0,0,0,0,N/A
2790947,"December 31, 2023",Pennsylvania,Philadelphia,"5500 block of Old York Rd",0,1,0,0,0,N/A
2793014,"December 31, 2023",Pennsylvania,Philadelphia,"5019-B Cottman Ave",0,1,0,0,0,N/A
2792151,"December 31, 2023",Tennessee,Martin,"103 Church St",1,0,0,0,2,N/A
2791164,"December 31, 2023",Virginia,Roanoke,"3900 block of Harvest Ln NW",0,1,0,0,0,N/A
2792081,"December 31, 2023",Indiana,Muncie,"300 block of E Gilbert St",0,1,0,0,1,N/A
2795377,"December 31, 2023",Texas,"Fort Worth","5700 block of Eastland St",1,0,0,0,1,N/A
2792067,"December 31, 2023",Texas,Humble,"9900 N Sam Houston Pkwy E",0,1,0,0,0,N/A
2790854,"December 31, 2023",California,Hawthorne,"14125 Crenshaw Blvd",1,5,0,0,0,N/A
2791450,"December 31, 2023",Pennsylvania,Pittsburgh,"50 block of Maytide St",1,0,0,0,1,N/A
2791224,"December 31, 2023",Virginia,Suffolk,"2000 block of Freeney Ave",0,1,0,0,0,N/A
2793499,"December 31, 2023",Delaware,"Wilmington (Elsmere)","S Dupont Rd and Kirkwood Hwy",1,0,0,0,0,N/A
2791207,"December 31, 2023","New Jersey","Mount Laurel (Mount Laurel Township)","5200 block of NJ-38",0,1,0,0,0,N/A
2792971,"December 31, 2023",Texas,Houston,"14551 Cullen Blvd",1,0,0,0,0,N/A
2792008,"December 31, 2023",Alabama,Tuscaloosa,"710 Skyland Blvd",0,1,0,0,1,N/A
2790984,"December 31, 2023",Tennessee,Memphis,"3302 block of River Valley Ln",1,0,0,0,0,N/A
2791717,"December 31, 2023",Utah,"Vernal (Naples)","390 block of W 250 S",1,0,1,0,0,N/A
2791341,"December 31, 2023","North Carolina",Charlotte,"300 S Church St",0,5,0,0,1,N/A
2791221,"December 31, 2023",Texas,Converse,"7100 block of Misty Ridge Dr",1,1,0,0,1,N/A
2791229,"December 31, 2023",Maryland,Baltimore,"4300 block of Belair Rd",1,0,0,0,0,N/A
2791996,"December 31, 2023",California,Gardena,"1099 Artesia Blvd",0,1,0,0,0,N/A
2791983,"December 31, 2023",California,"Los Angeles","9716 S Main St",0,1,0,0,0,N/A
2790898,"December 31, 2023",Arkansas,"Harrison (Bellefonte)","4281 US-65",0,0,0,1,1,N/A
2803597,"December 31, 2023",Michigan,Flint,"Balsam Lane",1,0,0,0,0,N/A
2791438,"December 31, 2023",Illinois,Chicago,"10300 block of S Avenue L",0,1,0,0,0,N/A
2791975,"December 31, 2023",California,Palmdale,"W Palmdale Blvd and Medical Center Dr",0,1,0,0,0,N/A
3210456,"December 31, 2023",Mississippi,Greenwood,"2900 Browning Rd",1,0,0,0,0,N/A
2791935,"December 31, 2023",Minnesota,"Saint Paul","700 block of Sherburne Ave",0,1,0,0,1,N/A
2790697,"December 31, 2023",Georgia,Atlanta,"280 Richardson St SW",0,0,0,1,1,N/A
2790929,"December 31, 2023",Pennsylvania,Philadelphia,"E Hilton St and G St",1,0,0,0,0,N/A
2791534,"December 31, 2023",Florida,Naples,"25000 Tamiami Trail E",1,0,1,0,0,N/A
2791946,"December 31, 2023",California,Wildomar,"Prairie Rd and Cervera Rd",0,0,0,1,0,N/A
2793784,"December 31, 2023",Ohio,Warren,"2000 block of N Feederle Drive SE",0,1,0,0,0,N/A
2791696,"December 31, 2023","South Carolina","Little River","3389 Hwy 9 E",2,2,0,0,0,N/A
2790733,"December 31, 2023",Iowa,Clinton,"2715 S 18th St",1,0,0,0,1,N/A
2791937,"December 31, 2023",Georgia,"Atlanta (East Point)","1022 Calhoun Ave",1,0,0,0,0,N/A
2793758,"December 31, 2023","North Carolina",Shelby,"Sulphur Springs Rd and Pleasant Dr",0,1,0,0,1,N/A
2792143,"December 31, 2023",Texas,Mesquite,"1600 block of Springwood Dr",0,2,0,0,0,N/A
2790867,"December 31, 2023",Tennessee,Clarksville,"2051 Fort Campbell Blvd",1,0,0,0,0,N/A
2790865,"December 31, 2023",Kentucky,Louisville,"600 block of W Jefferson St",0,1,0,0,0,N/A
2791914,"December 31, 2023",Georgia,Valdosta,"800 block of E Brookwood Pl",1,0,0,0,0,N/A
2790863,"December 31, 2023",Louisiana,"New Orleans","4600 block of Schindler Dr",0,1,0,0,0,N/A
