COUNTY,POP2020,YEAR,DEM,REP,GRN,LIB,OTH,UNA,TOTAL,GEOCODE,pop_18_over,pop_one_race,pop_white,pop_black,pop_native,pop_asian,pop_pacific,pop_other,pop_two_more
Allegany,68106,2020,12820,22530,74,204,434,7674,43736,24001,56039,54231,48215,4923,121,603,13,356,1808
Anne Arundel,588261,2020,174494,135457,564,1922,3017,90162,405616,24003,456018,426068,305168,79204,1795,20601,349,18951,29950
Baltimore City,585708,2020,311610,30163,802,951,3709,52450,399685,24510,471700,448485,142681,265435,1754,19684,152,18779,23215
Baltimore County,854535,2020,313870,142534,898,2227,6303,100576,566408,24005,669511,635625,375153,192662,2650,42424,237,22499,33886
Calvert,92783,2020,24587,28181,89,332,617,14178,67984,24009,70925,66635,54604,9609,236,1261,47,878,4290
Caroline,33293,2020,6629,10039,33,86,182,4208,21177,24011,25372,24156,19438,3319,105,245,16,1033,1216
Carroll,172891,2020,33662,63967,155,670,1137,25770,125361,24013,135048,128857,118552,5119,314,2851,33,1988,6191
Cecil,103725,2020,21601,30880,103,341,784,15110,68819,24015,80465,75960,67421,5852,235,1037,20,1395,4505
Charles,166617,2020,72416,24711,112,349,865,19849,118302,24017,126667,118669,48247,61035,1021,4494,125,3747,7998
Dorchester,32531,2020,9848,8730,19,78,164,3348,22187,24019,25733,24633,16876,6752,115,275,9,606,1100
Frederick,271717,2020,72487,68767,272,936,933,42961,186356,24021,207660,192568,151654,20093,874,10127,134,9686,15092
Garrett,28806,2020,3990,13318,21,86,168,2600,20183,24023,23335,22756,22375,184,33,68,7,89,579
Harford,260924,2020,66258,80038,232,966,1656,37942,187092,24025,202309,191471,153311,27243,551,6365,142,3859,10838
Howard,332317,2020,118705,52748,317,812,2143,51909,226634,24027,251136,235154,129822,47069,810,48638,107,8708,15982
Kent,19198,2020,6008,4996,19,50,129,2293,13495,24029,16164,15451,12652,2230,36,220,0,313,713
Montgomery,1062061,2020,410935,105561,1036,2030,6219,147417,673198,24031,819119,740382,373261,147983,5234,131059,462,82383,78737
Prince George's,967201,2020,474841,40095,707,1177,11607,78012,606439,24033,756049,704833,107294,460461,6545,35378,435,94720,51216
Queen Anne's,49874,2020,11091,18930,41,188,295,7133,37678,24035,39108,37438,33774,2280,119,466,14,785,1670
St. Mary's,113777,2020,26373,30661,100,375,663,15661,73833,24037,86370,80954,63955,12330,349,2707,76,1537,5416
Somerset,24620,2020,5704,5713,18,48,106,2048,13637,24039,20381,19763,11060,7947,102,204,1,449,618
Talbot,37526,2020,10749,11711,30,118,264,5122,27994,24041,30682,29293,24183,3381,106,406,12,1205,1389
Washington,154705,2020,32791,44161,130,513,942,20509,99046,24043,121143,114667,95320,13417,373,2306,67,3184,6476
Wicomico,103588,2020,27194,23646,93,312,701,12291,64237,24045,80944,76941,50971,20714,327,2505,32,2392,4003
Worcester,52460,2020,14134,18275,52,179,460,7565,40665,24047,43324,41664,35525,4813,123,592,5,606,1660
